Ind,sexe,age,age_rec,prof,WIP.util.Internet,confirm,internaute,internaute2,WIP.outil.pc,WIP.outil.smart,WIP.outil.tabl,WIP.outil.consol,WIP.outil.tv,lieu.connex_1,lieu.connex_2,lieu.connex_3,lieu.connex_4,lieu.connex_5,lieu.connex_6,lieu.connex_7,lieu.connex_8,lieu.connex_9,satisf.connex,debit.renonce_1,debit.renonce_2,debit.renonce_3,debit.renonce_4,debit.renonce_5,debit.renonce_6,debit.renonce_7,debit.renonce_8,debit.renonce_9,debit.renonce_10,info.reso_1,info.reso_2,info.reso_3,info.reso_4,info.reso_5,satisf.info.reso,smartph,abo.3g,connex.smatph,satisf.conn.3g,appren.info.reseau,appren.info.sup.ligne,appren.info.sup.hrsligne,appren.info.form,appren.info.seul,appren.info.autre,appren.info.sr,forma.info_1,forma.info_2,forma.info_3,forma.info_4,orga.forma_1,orga.forma_2,orga.forma_3,orga.forma_4,orga.forma_5,support.info.foyer,support.info.hrsfoyer,support.info.ent,support.info.ind,support.info.forum,support.info.seul,support.info.autre,support.info.sr,aise.internet,certif.info,motiv.certif_1,motiv.certif_2,motiv.certif_3,motiv.certif_4,motiv.certif_5,motiv.certif_6,motiv.certif_7,connai.EPN,freq.EPN,motiv.freq.EPN_1,motiv.freq.EPN_2,motiv.freq.EPN_3,motiv.freq.EPN_4,motiv.freq.EPN_5,motiv.freq.EPN_6,motiv.non.freq.EPN_1,motiv.non.freq.EPN_2,motiv.non.freq.EPN_3,motiv.non.freq.EPN_4,motiv.non.freq.EPN_5,motiv.non.freq.EPN_6,motiv.non.freq.EPN_7,motiv.non.freq.EPN_8,WIP.debut.int,WIP.debut.Internet_mois,WIP.debut.Internet_annee,compte.actif.mail.perso,compte.actif.mail.pro,compte.actif.mail.famille,compte.actif.mail.asso,compte.actif.rsn.perso,compte.actif.rsn.pro,util.trav,entour.int,util.int.avant,duree.util.int,cesse.int,WIP.frein.int,sans.int_1,sans.int_2,sans.int_3,sans.int_4,sans.int_5,sans.int_6,sans.int_7,sans.int_8,sans.int_9,sans.int_10,sans.int_11,int.faciliterait_1,int.faciliterait_2,int.faciliterait_3,int.faciliterait_4,int.faciliterait_5,int.faciliterait_6,int.faciliterait_7,int.faciliterait_8,int.faciliterait_9,int.faciliterait_10,devoir.util.int,WIP.freq.com.mail,WIP.freq.com_2,WIP.freq.com_3,WIP.freq.com_4,WIP.freq.com_5,WIP.freq.info.actu,WIP.freq.info_2,WIP.freq.info_3,WIP.freq.info.sante,WIP.freq.info_5,WIP.freq.divert_1,WIP.freq.divert_2,WIP.freq.divert_3,WIP.freq.divert_4,WIP.freq.divert_5,WIP.freq.divert_6,WIP.freq.appren.def.mot,WIP.freq.appren.verif.info,WIP.freq.appren.app.sui,WIP.freq.appren.scol,WIP.freq.appren.mooc,WIP.freq.appren.app.chose,WIP.freq.conso_1,WIP.freq.conso_2,WIP.freq.conso_3,WIP.freq.conso_4,WIP.freq.conso_5,WIP.freq.conso_6,WIP.freq.conso_7,WIP.freq.conso_8,WIP.freq.conso_9,WIP.freq.conso_10,pouv.achat_1,pouv.achat_2,pouv.achat_3,admin,orgadmin_1,orgadmin_2,orgadmin_3,orgadmin_4,orgadmin_5,orgadmin_6,orgadmin_7,orgadmin_8,orgadmin_9,diff.admin,orgadmin.diff_1,orgadmin.diff_2,orgadmin.diff_3,orgadmin.diff_4,orgadmin.diff_5,orgadmin.diff_6,orgadmin.diff_7,orgadmin.diff_8,orgadmin.diff_9,orgadmin.diff_10,resol.diff.admin_1,resol.diff.admin_2,resol.diff.admin_3,resol.diff.admin_4,resol.diff.admin_5,resol.diff.admin_6,facil.admin_1,facil.admin_2,facil.admin_3,facil.socio_1,facil.socio_2,facil.socio.mm.situ,facil.socio.echg.facil,facil.socio.contact.inc,facil.socio.rais_1,facil.socio.rais_2,facil.socio.rais_3,facil.socio.rais_4,facil.socio.rais_5,facil.socio.rais_6,facil.socio.rais_7,source.info.loisir,source.info.infor,source.info.droit,source.info.orien,source.info.sante,util.sourcinfo.loisir,util.sourcinfo.infor,util.sourcinfo.droit,util.sourcinfo.orien,util.sourcinfo.sante,contrib,Skills.1,Skills.2,Skills.3,Skills.4,Skills.5,Skills.6,Skills.7,Skills.8,Skills.9,Skills.10,Skills.11,Skills.12,Skills.13,Skills.14,Skills.15,Skills.16,Skills.17,Skills.18,Skills.19,Skills.20,Skills.21,engag.pol_1,engag.pol_2,engag.pol_3,engag.pol_4,WIP.impact.comp.pol,WIP.impact.pol_2,WIP.impact.pol_3,WIP.impact.pol_4,WIP.expr.pol_1,WIP.expr.pol_2,WIP.expr.pol_3,WIP.expr.pol_4,WIP.expr.pol_5,WIP.int.fiable,WIP.cybervict_1,WIP.cybervict_2,WIP.cybervict_3,WIP.cybervict_4,WIP.cybervict_5,WIP.cybervict_6,WIP.vict.privacy,WIP.csq.privacy_1,WIP.csq.privacy_2,WIP.csq.privacy_3,WIP.csq.privacy_4,WIP.csq.privacy_5,WIP.csq.privacy_6,WIP.csq.privacy_7,WIP.csq.privacy_8,WIP.csq.privacy_9,WIP.privacy_1,WIP.privacy_2,WIP.privacy_3,WIP.privacy_4,WIP.privacy_5,WIP.privacy_6,WIP.privacy_7,opport.int_1,opport.int_2,opport.int_3,opport.int_4,opport.int_5,opport.int_6,opport.int_7,nv.vie,etude,WIP.sans.profession,WIP.statut.fam,nb.foyer,nb.mineur.foyer,nb.ado.foyer,WIP.revenu,actu,ecrit
11,Femme,24,18 a 24 ans,Sans activite professionnelle,Oui,,oui,Not mentioned,pfpj,pfpj,tlm,jm,jm,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Satisfaisante,,,,,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non pas assez,Oui,Oui illimite,Oui majoritairement en wifi,Satisfaisante,non,non,non,non,oui,oui,non,,,,,,,,,,non,non,non,non,non,oui,non,non,A laise,Non,,,,,,,,Non mais vous avez deja entendu parler de ce type de lieux.,,,,,,,,,,,,,,,,+1an,NA,10,oui,non,oui,non,oui,non,,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tlm,jm,pfpj,pfpj,tls,tls,jm,tls,ms,tlm,jm,pfpj,pfpj,jm,jm,jm,ms,tlm,jm,ms,jm,jm,tlm,jm,jm,jm,tls,jm,tls,jm,jm,jm,tout a fait daccord,,,Oui,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Oui un peu,bcp,bcp,non,non,bcp,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,internet,internet,internet,internet,les.2,utile+,utile-,utile,utile,utile+,lecteur,++,++,++,++,++,++,++,++,+,++,++,++,++,++,--,++,--,++,++,++,++,jm,jm,jm,jm,3sur5,2,3,3,2,3,4,3,3,3sur5,non,oui,non,non,oui,non,Non,,,,,,,,,,2,2,2,Tout a fait daccord,Tout a fait daccord,3,Tout a fait daccord,Oui un peu,Non,Non,Non,Oui un peu,Oui un peu,Non,3sur5,niv.col,Au foyeren charge des enfants,concub,4,2,0,-1400,tls,tlm
12,Femme,75,65 ans et plus,Retraite ou pre retraite,Non,Non,non,Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,Non,,,Vous ne savez pas comment utiliser Internet,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,,,,,,,,,,,Oui et vous avez demande a quelquun de le faire pour vous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,,,,,2sur5,Pas du tout daccord,3,Pas du tout daccord,3,Pas du tout daccord,4,3,Tout a fait daccord,nsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3sur5,niv.col,,veuf,1,NA,NA,1400-2000,pfpj,ms
13,Homme,24,18 a 24 ans,Professions intermediaires,Oui,,oui,Not mentioned,pfpj,pfpj,pfpj,jm,jm,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Peu satisfaisante,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Non pas assez,Oui,Oui illimite,Oui majoritairement en wifi,Peu satisfaisante,non,non,non,non,oui,non,non,,,,,,,,,,non,oui,non,non,oui,oui,non,non,A laise,Oui,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,16,oui,oui,non,non,oui,non,pfpj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,tls,tlj,tlm,tlj,pfpj,tlm,ms,tlm,tlj,ms,tls,tls,ms,jm,jm,tls,tlj,tlj,tlj,pfpj,tlm,tlm,tlm,tlm,tlm,tlm,jm,tlm,tlm,tlm,jm,rdr,4,3,Oui,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,nsp,1peu,1peu,1peu,1peu,nsp,,,,,,,,les.2,les.2,les.2,les.2,les.2,nsp,nsp,nsp,nsp,nsp,lecteur,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,+,++,++,++,++,nsp,nsp,nsp,nsp,nsp,nsp,nsp,nsp,nsp,nsp,nsp,nsp,nsp,3sur5,nsp,nsp,nsp,nsp,nsp,nsp,Non,,,,,,,,,,nsp,nsp,nsp,nsp,nsp,nsp,nsp,Oui un peu,Oui un peu,Oui un peu,Oui un peu,Oui un peu,Oui un peu,Oui un peu,3sur5,bac+1,,marie,3,1,0,rdr,tlj,tlj
14,Homme,48,35 a 49 ans,Ouvriers,Oui,,oui,Not mentioned,pfpj,jm,jm,jm,jm,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Satisfaisante,,,,,,,,,,,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Oui tout a fait,Non,,,,non,non,non,non,oui,non,non,,,,,,,,,,non,non,oui,non,non,non,non,non,Peu a laise,Non,,,,,,,,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,4,non,non,non,non,oui,non,jm,bn.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tlm,jm,jm,jm,jm,tlj,jm,jm,tlm,jm,pfpj,jm,jm,jm,jm,jm,tlm,jm,tlm,jm,jm,jm,tlm,ms,jm,jm,jm,jm,jm,jm,jm,jm,4,,,Oui,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui un peu,Oui beaucoup,Non,bcp,non,bcp,bcp,bcp,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,internet,cherch.pas,internet,cherch.pas,cherch.pas,utile,,utile+,,,lecteur,++,++,++,++,+,++,++,++,--,++,++,++,++,--,--,--,--,--,--,--,--,jm,souvent,jm,jm,4sur5,Tout a fait daccord,4,3,4,Tout a fait daccord,Tout a fait daccord,4,Tout a fait daccord,3sur5,oui,non,non,oui,oui,oui,Non,,,,,,,,,,Pas du tout daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Pas du tout daccord,Tout a fait daccord,Non,Non,Oui un peu,Non,Non,Oui un peu,Non,5sur5,cap.bep,,concub,3,1,1,2000-2900,pfpj,jm
15,Homme,26,25 a 34 ans,Ouvriers,Oui,,oui,Not mentioned,jm,pfpj,ms,pfpj,jm,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Oui plutôt,Oui,Oui illimite,Oui majoritairement en wifi,Pas du tout satisfaisante,non,non,non,oui,non,non,non,Mentioned,Not mentioned,Not mentioned,Not mentioned,,,,,,non,non,non,non,non,non,oui,non,Peu a laise,Non,,,,,,,,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,6,oui,non,non,non,oui,non,tlm,bn.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tlm,jm,ms,tlm,tlm,pfpj,jm,jm,ms,tlm,pfpj,pfpj,ms,jm,jm,jm,jm,tlm,tlm,jm,jm,ms,ms,ms,tlm,jm,jm,jm,jm,jm,jm,jm,2,,,Oui,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui un peu,Non,Oui beaucoup,1peu,1peu,1peu,non,non,,,,,,,,internet,hrsligne,hrsligne,cherch.pas,hrsligne,utile,,,,,ni.ni,++,++,+,--,++,-,+,++,comprend.pas,+,+,+,+,--,--,--,--,+,comprend.pas,++,--,jm,jm,jm,jm,nsp,nsp,nsp,3,2,nsp,4,3,3,3sur5,non,non,non,non,oui,non,Non,,,,,,,,,,2,2,4,4,Tout a fait daccord,2,4,Oui beaucoup,Oui un peu,Non,Non,Non,Non,Oui beaucoup,4sur5,cap.bep,,concub,2,0,NA,1400-2000,tlj,jm
16,Femme,57,50 a 64 ans,Sans activite professionnelle,Oui,,oui,Not mentioned,tlj,jm,jm,jm,jm,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,,,,,,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non pas assez,Non,,,,non,non,non,oui,non,non,non,Not mentioned,Mentioned,Not mentioned,Not mentioned,,,,,,non,non,non,oui,non,non,non,non,Peu a laise,Non,,,,,,,,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,15,oui,non,non,non,oui,non,,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tlj,jm,jm,jm,jm,jm,jm,jm,jm,ms,pfpj,jm,jm,jm,jm,jm,tlm,jm,jm,jm,jm,jm,tlm,jm,jm,jm,pfpj,jm,jm,jm,jm,jm,2,,,Oui,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui un peu,Oui un peu,Oui un peu,1peu,bcp,non,non,1peu,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,cherch.pas,cherch.pas,cherch.pas,cherch.pas,cherch.pas,,,,,,ni.ni,+,--,+,--,-,--,--,--,--,++,--,--,--,--,--,--,--,--,--,--,--,jm,jm,jm,jm,2sur5,2,2,2,2,2,2,2,2,3sur5,non,non,non,non,non,non,Non,,,,,,,,,,Pas du tout daccord,Tout a fait daccord,3,4,Tout a fait daccord,2,3,Non,Non,Non,Non,Non,Non,Non,5sur5,cap.bep,Dispensemoinse de travail pour cause dinvalidite,divorce,1,NA,NA,-1400,tlm,jm
17,Femme,44,35 a 49 ans,Professions intermediaires,Oui,,oui,Not mentioned,pfpj,pfpj,pfpj,jm,jm,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Satisfaisante,,,,,,,,,,,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Oui plutôt,Oui,Oui illimite,Oui majoritairement en wifi,Satisfaisante,oui,non,non,non,non,non,non,,,,,,,,,,non,non,non,oui,non,non,non,non,A laise,Non,,,,,,,,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,16,oui,oui,non,non,oui,oui,pfpj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,tlj,tls,tlm,ms,pfpj,tlm,ms,tls,tlj,ms,tlm,tls,ms,ms,tlj,tlj,tls,tlm,ms,jm,tlm,tlj,tlj,tls,tlm,pfpj,ms,tls,tlm,tls,tlm,4,4,4,Oui,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Oui beaucoup,bcp,bcp,bcp,bcp,bcp,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,hrsligne,internet,internet,hrsligne,hrsligne,,utile,utile,,,les.2,++,++,++,++,++,++,++,+,+,++,++,++,++,+,++,++,--,++,++,++,++,souvent,rarement,rarement,rarement,4sur5,4,4,4,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,4,Tout a fait daccord,3sur5,non,non,non,non,non,non,Non,,,,,,,,,,Pas du tout daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Pas du tout daccord,4,Oui beaucoup,Oui beaucoup,Oui beaucoup,Oui beaucoup,Oui beaucoup,Oui beaucoup,Oui un peu,3sur5,cap.bep,,divorce,4,3,3,1400-2000,pfpj,pfpj
18,Homme,85,65 ans et plus,Retraite ou pre retraite,Oui,,oui,Not mentioned,pfpj,jm,jm,jm,jm,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Oui plutôt,Non,,,,non,non,non,non,oui,oui,non,,,,,,,,,,non,non,non,oui,non,non,non,non,A laise,Non,,,,,,,,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,20,oui,non,non,non,oui,non,,bn.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,tls,ms,tlm,tls,pfpj,ms,jm,tls,ms,jm,jm,jm,jm,jm,tls,tlj,tlm,tls,jm,jm,jm,jm,tlm,tlm,ms,tlj,jm,jm,jm,ms,jm,3,,,Oui,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Non,Non,bcp,bcp,non,non,bcp,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,internet,hrsligne,cherch.pas,cherch.pas,internet,utile,,,,utile+,ni.ni,++,+,++,++,++,--,--,+,--,++,--,--,--,-,--,--,--,--,--,--,--,jm,jm,jm,jm,1sur5,3,3,Pas du tout daccord,Tout a fait daccord,3,Tout a fait daccord,3,Tout a fait daccord,3sur5,non,non,non,oui,oui,oui,Oui et cela a engendre de tres graves problemes,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Tout a fait daccord,Tout a fait daccord,nsp,3,Pas du tout daccord,Tout a fait daccord,Tout a fait daccord,Non,Non,Non,Non,Non,Non,Non,4sur5,niv.col,,marie,2,0,NA,1400-2000,pfpj,jm
19,Homme,26,25 a 34 ans,Ouvriers,Oui,,oui,Not mentioned,pfpj,pfpj,jm,jm,jm,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Peu satisfaisante,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Oui plutôt,Oui,Oui illimite,Oui majoritairement en wifi,Satisfaisante,oui,non,non,non,oui,non,non,,,,,,,,,,non,oui,non,non,oui,oui,non,non,Tres a laise,Non,,,,,,,,Oui,Non jm,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+1an,NA,13,oui,oui,non,non,oui,non,jm,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tlm,tlm,tlj,tlj,tls,pfpj,tlm,tls,ms,ms,pfpj,pfpj,pfpj,jm,jm,tls,ms,tlj,tls,jm,jm,jm,tlj,tlm,ms,jm,tls,jm,pfpj,jm,jm,jm,4,,,Oui,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Non,bcp,bcp,bcp,bcp,non,,,,,,,,cherch.pas,internet,internet,hrsligne,internet,,utile+,utile,,utile,contrib,++,++,++,++,++,++,++,++,++,++,++,++,++,++,-,+,--,++,++,++,++,jm,jm,jm,jm,1sur5,Pas du tout daccord,Pas du tout daccord,Pas du tout daccord,Tout a fait daccord,2,Tout a fait daccord,Tout a fait daccord,Pas du tout daccord,3sur5,non,non,non,oui,non,non,Non,,,,,,,,,,Tout a fait daccord,4,4,2,3,4,Tout a fait daccord,Oui beaucoup,Oui beaucoup,Non,Non,Oui beaucoup,Oui beaucoup,Non,2sur5,bac,,celib,1,NA,NA,-1400,pfpj,tls
20,Femme,77,65 ans et plus,Retraite ou pre retraite,Non,Non,non,Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,Non,,,Vous nêtes pas interesse par lutilisation dInternet,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest un peu vrai vous concernant,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,,,,,,,,,,,Non cela ne vous est jm arrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,1sur5,Pas du tout daccord,Pas du tout daccord,Pas du tout daccord,4,4,3,3,4,2sur5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3sur5,cap.bep,,veuf,1,NA,NA,1400-2000,tls,jm
21,Homme,50,50 a 64 ans,Artisans commercants chefs dentreprise,Non,Non,non,Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,Non,,,Vous ne savez pas comment utiliser Internet,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest un peu vrai vous concernant,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest un peu vrai vous concernant,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Oui et vous avez demande a quelquun de le faire pour vous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,++,++,+,--,--,--,--,--,--,--,--,--,--,--,--,--,--,++,++,++,--,,,,,2sur5,2,2,Pas du tout daccord,Pas du tout daccord,Pas du tout daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,1sur5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3sur5,cap.bep,,divorce,1,NA,NA,1400-2000,jm,ms
22,Homme,53,50 a 64 ans,Cadres et professions intellectuelles superieures,Oui,,oui,Not mentioned,pfpj,jm,jm,jm,jm,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Peu satisfaisante,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Oui plutôt,Non,,,,oui,non,non,non,non,non,non,,,,,,,,,,non,oui,non,oui,non,non,non,non,A laise,Non,,,,,,,,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,10,oui,oui,non,non,non,non,pfpj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,pfpj,jm,jm,jm,jm,jm,jm,jm,ms,jm,jm,jm,jm,jm,jm,ms,ms,tlm,jm,jm,jm,jm,jm,jm,jm,jm,jm,jm,jm,jm,jm,pas du tout daccord,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1peu,1peu,non,non,non,,,,,,,,cherch.pas,cherch.pas,cherch.pas,cherch.pas,cherch.pas,,,,,,ni.ni,++,++,++,--,--,--,--,+,+,++,--,--,--,--,--,--,--,--,--,+,--,jm,jm,jm,jm,1sur5,Pas du tout daccord,Pas du tout daccord,Pas du tout daccord,Tout a fait daccord,4,Pas du tout daccord,Tout a fait daccord,Pas du tout daccord,2sur5,non,non,non,non,non,non,Non,,,,,,,,,,Pas du tout daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,3,3,Non,Non,Non,Non,Non,Non,Oui un peu,2sur5,cap.bep,,divorce,1,NA,NA,rdr,pfpj,jm
23,Homme,46,35 a 49 ans,Ouvriers,Non,Non,non,Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,Oui,Plus de 3 ans,De 1 a 5 ans,Cest trop cher,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Oui cest tout a fait vrai vous concernant,Oui cest un peu vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest tout a fait vrai vous concernant,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Oui et vous avez demande a quelquun de le faire pour vous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,+,+,--,--,--,--,--,--,--,+,--,--,,,,,3sur5,3,3,3,Pas du tout daccord,Pas du tout daccord,Tout a fait daccord,Tout a fait daccord,3,2sur5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3sur5,cap.bep,,concub,2,0,NA,rdr,pfpj,jm
